,energy_100g,carbohydrates_100g,fat_100g,proteins_100g,sodium_100g,salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,trans-fat_100g,cholesterol_100g,iron_100g,vitamin-c_100g,calcium_100g,vitamin-a_100g
8,134.0,5.3,0.3,0.9,0.168,0.42,3.9,0.1,,,,,,,
15,1594.0,27.3,22.0,4.6,0.04,0.1,21.9,15.5,4.4,,,,,,
23,657.0,36.0,0.0,0.6,0.0,0.0,27.0,0.0,3.6,,,,,,
27,598.0,3.9,12.7,1.9,0.10800000000000001,0.27,1.0,1.0,,,,,,,
48,1661.0,0.1,33.0,25.0,0.52,1.3,0.1,21.6,,,,,,,
50,824.0,3.0,13.0,17.0,0.44,1.1,0.9,4.0,,,,,,,
51,824.0,28.7,5.0,8.4,0.1868,0.467,3.0,1.1,,,,,,,
54,669.0,25.2,2.2,9.5,0.1432,0.358,0.6,0.5,1.6,,,,,,
56,1059.0,0.5,17.0,23.0,1.0,2.5,0.5,2.6,,,,,,,
58,983.0,1.0,15.0,24.0,0.8,2.0,1.0,7.5,,,,,,,
71,268.0,1.8,2.3,3.7,0.16,0.4,1.4,2.3,,,,,,,
244,1255.0,83.33,0.0,0.0,0.0,0.0,66.67,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
280,2427.0,58.0,38.0,3.0,0.2,0.5,58.0,36.0,,,,,,,
289,450.0,15.3,2.2,6.8,0.28,0.7,0.5,0.9,0.5,,,,,,
290,455.0,12.5,4.2,4.4,0.24,0.6,1.4,2.1,1.8,,,,,,
292,1210.0,23.0,12.0,22.0,0.0008640000000000001,2.16,0.0,7.0,2.0,,0.055999999999999994,0.0,0.0,0.0,0.0
298,2264.0,59.0,31.0,6.4,0.23199999999999998,0.58,22.0,16.0,,,,,,,
308,1952.4,75.5,15.3,6.8,0.2,0.5,69.8,11.2,0.1,,,,,,
322,1090.0,38.7,10.7,3.33,0.000259,0.647,24.7,2.0,2.0,0.667,0.00533,0.00047999999999999996,0.0016,0.0133,0.0
338,1160.0,53.3,1.11,10.0,0.00061,1.52,1.11,0.33299999999999996,2.22,0.0,0.0,0.006,0.0,0.0222,0.0
340,895.0,35.9,4.4,3.7,0.36,0.9,3.0,0.6,,,,,,,
343,213.0,14.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,,,,,,
349,201.0,13.3,0.0,0.0,0.02,0.05,12.7,0.0,,,,,,,
351,478.0,7.86,6.79,5.36,0.0002,0.499,0.7140000000000001,2.86,0.35700000000000004,0.0,0.0107,0.000643,0.000429,0.0286,1.07e-05
353,1577.0,93.0,0.5,1.5,0.008,0.02,66.0,0.1,,,,,,,
354,1674.0,93.3,0.0,0.0,0.0,0.0,93.3,0.0,,,,,,,
359,17.0,0.1,0.1,0.1,0.0004,0.001,0.1,0.1,,,,,,,
373,1749.0,77.68,10.41,4.29,0.084,0.21,70.54,0.79,,,,,,,
375,1732.0,77.02,10.29,4.2,0.084,0.21,69.97,0.77,,,,,,,
382,2142.0,0.0,0.25,0.0,0.0,0.0,0.0,0.02,,,,,,,
383,3276.0,0.12,86.67,0.66,0.34,0.85,0.0,53.04,,,,,,,
385,3012.0,0.0,80.0,0.0,0.1,0.25,0.0,48.96,0.0,,,,,,
386,1720.0,87.86,6.42,0.03,0.04,0.1,81.67,3.53,0.0,,,,,,
400,1644.0,87.1,4.8,0.0,0.048,0.12,84.7,3.3,,,,,,,
401,1644.0,87.1,4.8,0.0,0.048,0.12,84.7,3.3,,,,,,,
418,536.0,50.0,6.0,7.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
425,1682.0,2.4,5.2,4.3,4.0,10.0,1.9,0.4,,,,,,,
436,1527.0,71.76,1.18,12.94,0.47853599999999996,1.19634,4.71,0.0,2.4,0.0,0.0,0.00424,0.0,0.071,0.0
440,1749.0,51.76,21.76,5.88,0.26924000000000003,0.6731,32.94,5.29,2.4,0.0,0.071,0.00159,0.0,0.08800000000000001,3.54e-05
446,1623.0,42.35,22.35,4.71,0.323088,0.80772,15.29,11.76,2.4,0.0,0.0,0.0016899999999999999,0.0282,0.0,7.049999999999999e-05
459,2257.0,53.8,33.3,4.7,0.036000000000000004,0.09,51.5,21.1,,,,,,,
463,2029.0,4.4,48.2,9.2,0.584,1.46,0.9,20.0,,,,,,,
474,1427.0,43.0,17.0,4.3,0.35600000000000004,0.89,14.0,9.9,,,,,,,
479,1745.0,44.0,24.0,6.1,0.68,1.7,17.0,10.0,,,,,,,
486,1151.0,55.0,1.5,9.4,0.244,0.61,5.1,0.2,,,,,,,
489,1284.0,54.2,7.0,3.9,0.08,0.2,44.0,3.6,4.7,,,,,,
490,1284.0,54.2,7.0,3.9,0.0799592,0.199898,44.0,3.6,4.7,,,,,,
494,1046.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
495,920.0,27.0,12.0,2.0,0.0,0.0,19.0,8.0,,,,,,,
502,607.0,3.5,13.0,2.0,0.32,0.8,2.0,1.0,,,,,,,
509,2360.0,51.6,30.5,0.0,0.892,2.23,51.6,18.8,0.0,,,,,,
510,177.0,10.4,0.0,0.0,0.010159999999999999,0.0254,10.4,0.0,0.0,,,,,,
520,1226.0,18.5,23.8,1.3,0.68,1.7,17.0,1.8,,,,,,,
526,1707.0,17.0,37.0,1.7,0.88,2.2,12.0,4.0,0.2,,,,,,
532,180.0,10.7,0.1,0.0,0.0,0.0,10.7,0.0001,,,,,,,
539,703.0,0.0,10.3,18.9,0.04,0.1,0.0,1.4,0.0,,,,,,
540,573.0,24.0,3.1,2.2,0.4,1.0,0.8,1.6,2.2,,,,,,
545,828.0,17.6,7.2,15.3,0.72,1.8,0.5,1.0,,,,,,,
554,527.0,10.5,6.3,6.5,0.316,0.79,1.5,2.3,,,,,,,
555,1276.0,32.5,16.3,6.5,0.212,0.53,0.6,1.6,,,,,,,
556,1598.0,33.0,24.1,7.2,0.4,1.0,3.5,11.2,,,,,,,
560,678.0,17.0,6.6,8.2,0.292,0.73,3.7,1.7,0.9,,,,,,
561,812.0,21.2,8.1,8.3,0.48,1.2,1.6,1.6,,,,,,,
563,456.0,2.0,3.3,17.7,0.04,0.1,0.01,1.2,,,,,,,
565,431.0,0.3,4.0,20.0,0.56,1.4,0.3,0.5,,,,,,,
566,1163.0,24.0,17.0,5.9,0.6,1.5,1.6,7.0,2.7,,,,,,
567,2473.0,12.0,8.9,2.8,0.32,0.8,3.0,6.1,,,,,,,
574,1130.0,35.1,10.5,2.1,0.04,0.1,16.5,7.4,,,,,,,
575,1686.0,29.4,28.2,6.1,0.14400000000000002,0.36,24.3,18.46,,,,,,,
576,1017.0,16.0,18.0,2.9,0.3,0.75,2.9,1.9,,,,,,,
581,724.0,3.3,0.4,4.1,0.04,0.1,1.0,0.1,,,,,,,
583,1569.0,37.2,22.6,4.6,0.04,0.1,28.2,11.3,,,,,,,
589,1364.0,31.0,20.3,3.5,0.08,0.2,30.2,13.0,,,,,,,
599,632.0,5.3,9.4,10.6,0.344,0.86,1.1,6.7,,,,,,,
606,707.0,10.3,11.0,6.8,0.24,0.6,2.6,3.8,,,,,,,
607,586.0,5.1,11.0,4.6,1.96,4.9,0.6,5.5,0.5,,,,,,
610,862.0,1.7,15.0,16.0,0.44,1.1,1.7,4.2,,,,,,,
