OSEBuildingID	DataYear	NumberofBuildings	NumberofFloors	PropertyGFATotal	PropertyGFABuilding(s)	ENERGYSTARScore	SiteEUI(kBtu/sf)	SiteEUIWN(kBtu/sf)	SourceEUI(kBtu/sf)	SourceEUIWN(kBtu/sf)	SiteEnergyUse(kBtu)	SiteEnergyUseWN(kBtu)	SteamUse(kBtu)	Electricity(kWh)	Electricity(kBtu)	NaturalGas(therms)	NaturalGas(kBtu)	TotalGHGEmissions	GHGEmissionsIntensity	Building_Campus	Building_Multifamily HR (10+)	Building_Multifamily LR (1-4)	Building_Multifamily MR (5-9)	Building_NonResidential	Building_Nonresidential COS	Building_SPS-District K-12	Property_College/University	Property_Distribution Center	"Property_Distribution Center
"	Property_High-Rise Multifamily	Property_Hospital	Property_Hotel	Property_K-12 School	Property_Laboratory	Property_Large Office	Property_Low-Rise Multifamily	Property_Medical Office	Property_Mid-Rise Multifamily	Property_Mixed Use Property	Property_Non-Refrigerated Warehouse	Property_Other	Property_Refrigerated Warehouse	Property_Residence Hall/Dormitory	Property_Restaurant	"Property_Restaurant
"	Property_Retail Store	Property_SPS-District K-12	Property_Self-Storage Facility	"Property_Self-Storage Facility
"	Property_Senior Care Community	Property_Small- and Mid-Sized Office	Property_Supermarket/Grocery Store	Property_Worship Facility	DistrictCode_1	DistrictCode_2	DistrictCode_3	DistrictCode_4	DistrictCode_5	DistrictCode_6	DistrictCode_7
1	2015	-0.043936690370628334	1.328562720652944	-0.017631960862206943	0.06371060054538202	0.348835666964724	0.47694511136507617	0.4158896040973536	0.3111334722114393	0.2776486929443888	0.14936921005859974	0.13948514340592094	0.5090220798395432	0.02363403779656537	0.023633998299346974	0.0077640065832595365	0.007761222587636971	0.3483778848734821	1.0139068907158082	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2	2015	-0.043936690370628334	1.1467138248202773	0.0833760260714821	0.06423323104960059	-0.0266571754514912	0.7679446339208569	0.7565077435715285	0.44635549953129955	0.4311241261595947	0.25054574010605124	0.26039099597902915	-0.07067551988677616	0.04674349994623141	0.04674350539420058	0.759614939006432	0.7596113965022759	0.38330905952766864	0.8547489458169772	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	2015	-0.043936690370628334	6.602180699800277	5.813463270028995	6.777637258532817	-0.9117474468611414	0.809247791961032	0.7692581552095993	0.8368280952751653	0.8228300825745234	5.024598834002621	5.097387822688883	5.562991672945432	4.880168285210966	4.880168308368289	0.5846816694244995	0.5846816884569366	4.84390594113192	0.5731618125344305	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	2015	-0.043936690370628334	0.9648649289876106	-0.1986212919301454	-0.14468062726905837	-1.3677030412236884	7.639288198786389	7.377614358483965	3.826906182527804	3.8518701003094593	1.715348975155226	1.680725314845391	6.651337071973688	-0.07303397598207219	-0.0730341309609654	0.18042510813923268	0.18042373312069251	4.533445202763674	18.606981261455797	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8	2015	-0.043936690370628334	2.419656095648944	0.19234076164546704	0.20970896904737768	0.4024775015956119	1.2504406164810866	1.1772713276278621	0.7312333660759489	0.6746995649439266	0.7277463022019336	0.7178843039950266	-0.07067551988677616	0.2744998802253681	0.27449986068471643	1.7806941140888495	1.780695239460203	0.9891218108633095	1.8586682905634482	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9	2015	-0.043936690370628334	-0.4899262376737229	0.04146959321596401	-0.154134090801247	-1.3945239585391325	1.5433175553114207	1.6290001970909391	1.3746775073114634	1.3962631688661638	0.5230716033966912	0.570544317761952	-0.07067551988677616	0.40148395791156216	0.4014839412959279	0.8382650884883371	0.8382610675469463	0.4852991582516467	1.1179717008419667	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10	2015	-0.043936690370628334	1.1467138248202773	-0.05385118747482899	0.02200776060582484	-0.7240010256530338	0.43939678587400766	0.4031391924592828	0.12881163762286374	0.14860715954453896	0.09567207468476167	0.09454749305243926	-0.07067551988677616	-0.08244916848730294	-0.08244916998586288	0.5523506118884529	0.5523399822176605	0.24673511317021327	0.8486274863977916	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
11	2015	-0.043936690370628334	0.6011671373222772	0.0780025506894031	0.17382423633860647	-1.3945239585391325	0.16904884233831446	0.26106317706363774	0.1493228440140784	0.16540546566759648	0.10843552320565183	0.15996265361391387	0.503312879502155	0.068097166618204	0.06809722497070274	-0.21881374875537388	-0.2188186483056646	0.22572182841730415	0.4813399212466436	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
12	2015	-0.043936690370628334	1.8741094081509442	0.4866737100894325	0.6443684622176168	-0.16076176202871093	0.441274202148561	0.4632482758959021	0.3194898896300823	0.36698513914428493	0.5659475926074146	0.6099536701644539	-0.07067551988677616	0.4104057150633731	0.41040569867921867	0.9559207890825445	0.9559207841889766	0.552258846029807	0.5180686777617584	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
13	2015	-0.043936690370628334	0.23746934565694383	-0.18265439365196776	-0.13779420180170798	-1.3408821239082445	0.529512767052572	0.6417540388288921	0.3460784905075829	0.3975275139134802	-0.027084249684844346	0.002212183465573082	0.3544129000945199	-0.11508675222454216	-0.11508670711411875	-0.11971408703983455	-0.11971331255730457	0.151319418766803	0.9343279182663926	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
